		=== gfortran: Unexpected fails for rv64gc_zba_zbb_zbc_zbs lp64d medlow  ===
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions   scan-assembler-times beq\\s+[a-x0-9]+,[a-x0-9]+,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O3 -g   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -Os   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
		=== g++: Unexpected fails for rv64gc_zba_zbb_zbc_zbs lp64d medlow  ===
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++20 (test for excess errors)
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++29 (test for excess errors)
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++98 (test for excess errors)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++20 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++20 (test for excess errors)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++29 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++29 (test for excess errors)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++98 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/pr98187.c  -std=gnu++98 (test for excess errors)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++20 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++20 (test for excess errors)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++29 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++29 (test for excess errors)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++98 (internal compiler error: Segmentation fault)
FAIL: c-c++-common/gomp/schedule-simd-1.c  -std=gnu++98 (test for excess errors)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++20 (internal compiler error: Segmentation fault)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++20 (test for excess errors)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++29 (internal compiler error: Segmentation fault)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++29 (test for excess errors)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++98 (internal compiler error: Segmentation fault)
FAIL: g++.dg/gomp/pr98383.C  -std=gnu++98 (test for excess errors)
FAIL: g++.dg/torture/aarch64-vect-init-1.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/aarch64-vect-init-1.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: g++.dg/torture/aarch64-vect-init-1.C   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/aarch64-vect-init-1.C   -O3 -g  (test for excess errors)
FAIL: g++.dg/torture/pr37922.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/pr37922.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: g++.dg/torture/pr37922.C   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/pr37922.C   -O3 -g  (test for excess errors)
FAIL: g++.dg/torture/pr52638.C   -O1  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/pr52638.C   -O1  (test for excess errors)
FAIL: g++.dg/torture/pr95308.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/pr95308.C   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: g++.dg/torture/pr95308.C   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: g++.dg/torture/pr95308.C   -O3 -g  (test for excess errors)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++20 (internal compiler error: Segmentation fault)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++20 (test for excess errors)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++29 (internal compiler error: Segmentation fault)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++29 (test for excess errors)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++98 (internal compiler error: Segmentation fault)
FAIL: g++.dg/vect/vect-early-break_6.cc  -std=c++98 (test for excess errors)

               ========= Summary of gcc testsuite =========
                            | # of unexpected case / # of unique unexpected case
                            |          gcc |          g++ |     gfortran |
 rv64gc_zba_zbb_zbc_zbs/  lp64d/ medlow |  936 /   120 |   41 /     9 |  193 /    50 |
